polis_id,polis_name,region,latitude,longitude,territory_size,start_date,end_date,chrono_text,population,pop_text,urban_size_ha,ha_text,relocated,relocation_details,coins,constitution_type,walls,monuments,crisis
1-Alalie,Alalie,Spain and France (including Corsica),42.1,9.7,3,-560,-540,"Alalie was founded by Phokaia (no. 859), in accordance with an oracle, 20 years before the fall of Phokaia, i.e. c. 560 (Hdt. 1.165.1). After a naval battle with the Carthaginians and the Etruscans c. 540, in which the Alalians were victorious but suffered severe losses, the city was perhaps dismantled and certainly abandoned. In any case, after the battle, Alalie ceased to be a polis and its site was subsequently occupied by an Etruscan city.",20000:-540,"The 'epoecised' city put a fleet of sixty ships to sea (Hdt. 1.166.2), which indicates a population of c. 20,000 inhabitants (Gras (1985) 400-6) or even more (Dominguez (1985) 375-76).",,,True,"In c. 546 the Phokaians decided to relocate their city in reaction to the Persian threat, and almost half of the Phokaians were received at Alalie. From the Alalian point of view, the arrival of these refugees may have been perceived as reception of epoikoi, while from the point of view of the Phokaians it was a case of metoikesis. After a naval battle c. 540 the city was perhaps dismantled and certainly abandoned, and the inhabitants sailed to Rhegion.",False,,True,temple,"conflict, conquered"
2-Emporion,Emporion,Spain and France (including Corsica),42.1,3.1,2,-600,,"Emporion was founded c. 600 (Aquilué et al. (1996) 61-62), whether by Massaliote Phokaians (Ps.-Skymnos 203-4), Massaliotes (Ps.-Skylax 2; Strabo 3.4.8) or Phokaians (Livy 26.19, 34.4; cf. Pliny 3.22).",2000:unknown,"On the basis of the size of the city (5 ha), it has been supposed that the inhabitants numbered max. 1,500-2,000 (Domínguez (1986) 4; Marcet and Sanmartí (1990) 118-19).",5.0,"On the basis of the size of the city (5 ha), it has been supposed that the inhabitants numbered max. 1,500-2,000",False,,True,mixed,True,"akropolis, agora, temple",
3-Massalia,Massalia,Spain and France (including Corsica),43.28,5.22,2,"-600, -546",,"There are two different traditions about the foundation of Massalia, and consequently two different dates for the foundation. One tradition places the foundation in 600 (Timaios (FGrHist 566) fr. 7 = 120 years before the battle of Salamis), while the other places it at the time of the fall of Phokaia (no. 859) to the Persians in 546 (Antiochos (FGrHist 555) fr. 8; Isoc. Archidamus 84). The archaeological evidence supports the earlier date (Graham (2001) 38), but the existence of two different foundation dates may perhaps suggest a kind of refoundation in C6m, as a consequence of the arrival of refugees from Phokaia after the Persian conquest of Ionia.",20000:unknown,"It has been suggested that the total population of the city never exceeded 20,000 inhabitants (Bats (1992) 273).",40,During C6f Massalia slowly expanded and came to occupy almost 25 ha; in C6m the extent of the city was already more or less similar to that of the later city (c. 40 ha (Treziny (2001) 53).,False,,True,oligarchy,True,"akropolis, agora, temple",conflict
4-Rhode,Rhode,Spain and France (including Corsica),42.15,23.2,,"-420, -500",,"Although the site of the Greek city has yielded ceramic evidence dating to C6l(?) and C5 (Martín, Nieto and Nolla (1979) 326-27; Vivó (1996) 112), the earliest levels associated with habitation date from C4e (Puig et al. (1994-95) 128).",,,,,False,,True,,,temple,conquered
5-Abakainon,Abakainon,Sikelia,38.05,15.05,,-460,,"There are sporadic Greek remains from C6, and substantial Greek remains from C4; the city minted a Greek-style coinage from C5m. Abakainon struck silver coins (litra, hemilitron) from c. C5m.",,,,,False,,True,,True,,"conflict, conquered"
6-Adranon,Adranon,Sikelia,37.4,14.5,,-400,,Adranon was founded by Dionysios I c. 400,,,60,"The impressive ashlar isodomic double curtain-wall, enclosing an area of about 60 ha, probably dates from the period of Dionysios' foundation",False,,True,,True,temple,conflict
7-Agyrion,Agyrion,Sikelia,37.4,14.3,,-460,,"A bronze coinage of Agyrion, revealing Akragantine influence, is known from possibly as early as C5m, but at least from C5l, the period of the tyrant Agyris.","20000:-392, 10000:-338","c. 20,000 citizens (politai ouk elattons dis murion, 14.95.4); Timoleon later settled 10,000 new colonists in Agyrian territory",,,True,"The Agyrians were granted Syracusan citizenship and the population was possibly transferred to Syracuse; Timoleon later settled 10,000 new colonists in Agyrian territory, which was presumably a regular refoundation of Agyrion.",True,tyranny,True,"akropolis, agora, temple, bouleuterion, theatre","conflict, conquered"
8-Aitna,Aitna,Sikelia,,,,-476,,"In 476, Hieron transferred the populations of Katane (no. 30) and Naxos (no. 41) to Leontinoi (no. 33), renamed Katane as Aitna, and settled his new foundation with 10,000 oiketores: 5,000 from the Peloponnese and 5,000 from Syracuse. The Aitnaians were expelled from Aitna (I) in 461, retired to Inessa, a Sikel site 80 stades inland from Katane on Mt. Etna, and refounded their community there, proclaiming Hieron oikistes and preserving the name of Aitna.",10000:-476,"settled his new foundation with 10,000 oiketores: 5,000 from the Peloponnese and 5,000 from Syracuse",,,True,"In 476 Hieron renamed Katane as Aitna (I). In 461 the Aitnaians were expelled from Aitna (I), retired to Inessa, and refounded their community there as Aitna (II), proclaiming Hieron oikistes and preserving the name of Aitna.",True,monarchy,,"temple, theatre","conflict, conquered"
9-Akragas,Akragas,Sikelia,37.2,13.35,5,-580,,"Akragas was founded by Gela (Thuc. 6.4.4), according to other sources with the participation of a Rhodian contingent, 108 years after the foundation of Gela, i.e. c. 580 (Thuc. 6.4.4), 100 years before the Olympic victory of Theron at the 76th Olympiad (476) according to Pindar.",200000:-406,"According to Diog. Laert. 8.63, Akragas had a population of 800,000 inhabitants at the time of Empedokles, an obvious exaggeration. At the time of the Carthaginian conflicts, Akragas had, according to Diod. 13.84.4, 90.3, a population of more than 20,000 citizens and with resident foreigners not less than 200,000 inhabitants.",625,"The urban area comprised c. 625 ha including the surrounding hills, while the habitation area on the plateau comprised c. 140 ha.",False,,True,democracy,True,"akropolis, agora, temple, bouleuterion, ekklesiastierion, theatre, law_courts, stoa","conflict, conquered"
10-Akrai,Akrai,Sikelia,37.05,14.55,,-664,,Akrai was founded by Syracuse (no. 47) in 664 (Thuc. 6.5.2) c. 36 km west of Syracuse itself,,,35,"The urban site occupied the central part of the plateau, covering about 35 ha (Bernabo Brea (1956)).",False,,False,,True,"agora, temple, bouleuterion, theatre",
11-Alaisa,Alaisa,Sikelia,38.0,14.15,,-403,,"According to Diod. 14. 16. 2, Alaisa was founded by Archonides of Herbita in 403/2, in order to house veteran mercenaries",,,,,False,,True,,True,"agora, temple, stoa",conflict
12-Alontion,Alontion,Sikelia,38.05,14.4,,-400,,"No source calls Alontion a polis, but it is included here on account of its C4e coins.",,,,,False,,True,,True,temple,
13-Apollonia,Apollonia,Sikelia,38.0,14.35,,,,"Diodorus reports that Apollonia, which with Engyon (no. 14) had been ruled by the tyrant Leptines, had its autonomia restored by Timoleon in 342/1",,,,,False,,False,tyranny,True,,"conflict, conquered"
14-Engyon,Engyon,Sikelia,37.45,14.35,,-460,,"At Troina, the archaeological remains of a circuit wall and the evidence from tombs do not antedate C4m; there is no evidence of an original Sikel settlement.",,,,,False,,False,tyranny,True,temple,conflict
